0 6 1.0
0 16 -0.027888168720006604
0 17 -0.05499858748545112
0 18 -0.08135294631829615
0 19 -0.10697233034551318
0 20 -0.13187723666846382
0 21 -0.15608759076192488
0 22 -0.164729788589
1 6 -1.0
1 16 0.027888168720006604
1 17 0.05499858748545112
1 18 0.08135294631829615
1 19 0.10697233034551318
1 20 0.13187723666846382
1 21 0.15608759076192488
1 22 0.164729788589
2 13 1.0
2 16 -0.28234428382564036
2 17 -0.5651885676512111
2 18 -0.848032851476793
2 19 -1.1308771353024862
2 20 -1.4137214191280334
2 21 -1.696565702953588
2 22 -1.8004994593490264
3 13 -1.0
3 16 0.28234428382564036
3 17 0.5651885676512111
3 18 0.848032851476793
3 19 1.1308771353024862
3 20 1.4137214191280334
3 21 1.696565702953588
3 22 1.8004994593490264
4 14 1.0
4 15 -0.0005
5 14 -1.0
5 15 0.0005
6 15 1.0
6 16 1.0
6 17 1.0
6 18 1.0
6 19 1.0
6 20 1.0
6 21 1.0
6 22 1.0
7 15 -1.0
7 16 -1.0
7 17 -1.0
7 18 -1.0
7 19 -1.0
7 20 -1.0
7 21 -1.0
7 22 -1.0
8 6 1.0
9 0 1.0
9 7 -169.0
10 1 1.0
10 8 -153.0
11 2 1.0
11 9 -112.0
12 3 1.0
12 10 -81.0
13 4 1.0
13 11 -142.0
14 5 1.0
14 12 -175.0
15 20 1.0
15 21 1.0
15 22 1.0
15 23 -1.0
16 15 1.0
16 16 1.0
16 17 1.0
16 18 1.0
16 23 1.0
17 18 1.0
17 19 1.0
17 20 1.0
17 24 -1.0
18 15 1.0
18 16 1.0
18 22 1.0
18 24 1.0
19 17 1.0
19 21 1.0
19 22 1.0
19 25 -1.0
20 15 1.0
20 19 1.0
20 25 1.0
21 0 -1.0
22 1 -1.0
23 2 -1.0
24 3 -1.0
25 4 -1.0
26 5 -1.0
27 6 -1.0
28 13 -1.0
29 14 -1.0
30 15 -1.0
31 16 -1.0
32 17 -1.0
33 18 -1.0
34 19 -1.0
35 20 -1.0
36 21 -1.0
37 22 -1.0
38 7 -1.0
39 7 1.0
40 8 -1.0
41 8 1.0
42 9 -1.0
43 9 1.0
44 10 -1.0
45 10 1.0
46 11 -1.0
47 11 1.0
48 12 -1.0
49 12 1.0
50 23 -1.0
51 23 1.0
52 24 -1.0
53 24 1.0
54 25 -1.0
55 25 1.0
