0 4 1.0
0 8 -0.14791709912361845
0 9 -0.2694675638444423
0 10 -0.3700957370920193
0 11 -0.45397836077567877
0 12 -0.5243509399326737
0 13 -0.5837425427733185
0 14 -0.6341467115741596
0 15 -0.6771472298666358
0 16 -0.7140116148421862
0 17 -0.715555555556
1 4 -1.0
1 8 0.14791709912361845
1 9 0.2694675638444423
1 10 0.3700957370920193
1 11 0.45397836077567877
1 12 0.5243509399326737
1 13 0.5837425427733185
1 14 0.6341467115741596
1 15 0.6771472298666358
1 16 0.7140116148421862
1 17 0.715555555556
2 5 1.0
2 8 -0.32830308686134557
2 9 -0.6749395078360515
2 10 -1.0349092628127972
2 11 -1.4082123516994338
2 12 -1.794848774419143
2 13 -2.1948185309074786
2 14 -2.608121621110114
2 15 -3.034758044980875
2 16 -3.4747278024803787
2 17 -3.5049361817845934
3 5 -1.0
3 8 0.32830308686134557
3 9 0.6749395078360515
3 10 1.0349092628127972
3 11 1.4082123516994338
3 12 1.794848774419143
3 13 2.1948185309074786
3 14 2.608121621110114
3 15 3.034758044980875
3 16 3.4747278024803787
3 17 3.5049361817845934
4 6 1.0
4 7 -0.005
5 6 -1.0
5 7 0.005
6 7 1.0
6 8 1.0
6 9 1.0
6 10 1.0
6 11 1.0
6 12 1.0
6 13 1.0
6 14 1.0
6 15 1.0
6 16 1.0
6 17 1.0
7 7 -1.0
7 8 -1.0
7 9 -1.0
7 10 -1.0
7 11 -1.0
7 12 -1.0
7 13 -1.0
7 14 -1.0
7 15 -1.0
7 16 -1.0
7 17 -1.0
8 4 1.0
9 0 1.0
10 1 1.0
11 2 1.0
12 3 1.0
13 16 1.0
13 17 1.0
13 18 -1.0
14 7 1.0
14 8 1.0
14 9 1.0
14 10 1.0
14 11 1.0
14 12 1.0
14 13 1.0
14 14 1.0
14 18 1.0
15 12 1.0
15 13 1.0
15 14 1.0
15 15 1.0
15 16 1.0
15 17 1.0
15 19 -1.0
16 7 1.0
16 8 1.0
16 9 1.0
16 10 1.0
16 19 1.0
17 10 1.0
17 11 1.0
17 12 1.0
17 20 -1.0
18 7 1.0
18 8 1.0
18 14 1.0
18 15 1.0
18 16 1.0
18 17 1.0
18 20 1.0
19 9 1.0
19 13 1.0
19 17 1.0
19 21 -1.0
20 7 1.0
20 11 1.0
20 15 1.0
20 21 1.0
21 0 -1.0
22 1 -1.0
23 2 -1.0
24 3 -1.0
25 4 -1.0
26 5 -1.0
27 6 -1.0
28 7 -1.0
29 8 -1.0
30 9 -1.0
31 10 -1.0
32 11 -1.0
33 12 -1.0
34 13 -1.0
35 14 -1.0
36 15 -1.0
37 16 -1.0
38 17 -1.0
39 18 -1.0
40 18 1.0
41 19 -1.0
42 19 1.0
43 20 -1.0
44 20 1.0
45 21 -1.0
46 21 1.0
